TDiv_1,TDiv_2,TDiv_3,TDiv_4,TDiv_5
13165.08,30377.52,47444.88,87846.56,111809.56
13060.455,19310.799,33692.721999999994,71172.77600000001,108434.40400000001
21586.942999999996,42488.693,65505.541999999994,120464.38799999999,149978.155
