Ne_Guyana,Ne_ParaAmapa,Ne_Marajo,Ne_Caatinga,Ne_East,Ne_West
50846,60186,36759,309437,52382.5,152345.5
50655.761541511245,59829.616,36759,309437,52382.5,152345.5
53675.238458488755,60301.583999999995,36759,309437,52382.5,152345.5
