bs	NGUY	NPAR	NMJO	NCAA	NEST	NWST	GUYPAR	GUYMJO	GUYCAA	GUYEST	GUYWST	PARMJO	PARCAA	PAREST	PARWST	MJOCAA	MJOEST	MJOWST	CAAEST	CAAWST	ESTWST	TDIV1	TDIV2	TDIV3	TDIV4	TDIV5	MaxEstLhood	MaxObsLhood
32	106525	192838	53346	595895	104358	335815	5.47963e-05	3.77640e-06	1.03975e-06	2.09199e-07	4.00882e-06	1.09588e-07	2.29768e-07	3.64702e-08	1.03343e-06	1.38380e-07	3.22539e-05	2.63956e-08	4.62659e-05	1.36003e-05	1.02396e-04	13421	22565	47830	79201	109287	-82037.490	-76874.793
33	106069	196636	71287	797088	106533	318372	3.94907e-05	1.64050e-06	2.45553e-07	5.34407e-07	8.34421e-06	7.75625e-06	7.07359e-07	4.74216e-08	1.30690e-07	1.40162e-07	1.08165e-05	3.81893e-06	4.79339e-05	2.26888e-06	1.87015e-04	12595	19881	39537	68997	116102	-80923.429	-75891.045
34	105507	118502	54463	438619	108016	389183	7.52280e-05	6.56374e-08	2.95971e-07	6.37174e-07	4.24204e-06	8.57659e-06	7.35141e-07	5.35943e-07	4.78403e-07	3.50701e-06	2.16045e-05	8.55158e-08	5.40286e-05	5.67027e-06	7.56123e-05	15219	20225	37243	67257	99814	-80742.178	-75894.105
35	108168	231039	63906	514090	115739	305465	4.93015e-05	2.48877e-06	1.28089e-07	2.74092e-06	1.94278e-06	1.61333e-06	9.50350e-07	3.01873e-07	4.00392e-06	6.96707e-06	5.35480e-06	5.41232e-08	6.43712e-05	3.68055e-07	1.29636e-04	13694	26636	44697	67630	87052	-82075.048	-76902.511
36	102593	343660	72042	830134	108253	477956	2.78700e-05	2.48062e-06	6.76095e-07	1.52229e-06	5.55483e-07	3.16603e-08	3.18974e-07	4.02049e-07	8.50545e-07	1.20379e-07	3.05213e-08	3.79234e-06	4.31026e-05	5.00496e-08	8.36226e-05	10969	18813	29816	77057	121624	-81298.531	-76194.155
37	102895	218513	50335	465752	105540	566229	3.95175e-05	1.27603e-05	4.12024e-07	2.72224e-08	1.36608e-06	2.37018e-07	1.07143e-07	3.37376e-06	7.89461e-07	2.50132e-07	2.29940e-05	9.99501e-07	6.40472e-05	3.21643e-07	5.27141e-05	11602	29765	42716	84085	121952	-80943.620	-76024.713
38	112519	125126	70122	743291	104682	472472	8.79867e-05	1.92843e-06	2.19112e-08	9.31544e-07	2.60431e-06	7.94957e-06	1.76161e-07	1.64487e-06	4.19239e-06	1.51820e-06	1.32382e-05	1.04272e-07	3.82462e-05	2.28578e-05	1.12734e-04	11614	15198	48997	86442	89545	-80290.702	-75398.711
39	117092	117442	62233	533663	104635	303379	8.99262e-05	8.10044e-08	4.63614e-07	5.29138e-06	7.86394e-07	4.80835e-06	5.09209e-07	5.24381e-08	1.11876e-07	4.05924e-06	9.53876e-06	7.44430e-07	5.66771e-05	2.09528e-07	8.95495e-05	16107	18305	34657	74479	102753	-81887.137	-76828.262
40	107738	245004	72792	503019	102770	400815	3.41761e-05	3.05973e-06	8.22403e-08	7.42387e-07	5.59923e-06	6.69678e-07	3.28184e-07	2.74312e-07	1.49758e-06	1.53697e-06	9.11389e-06	3.84333e-07	4.94774e-05	1.50210e-06	1.28643e-04	15551	17664	27852	72290	89660	-81800.218	-76645.151
41	102941	246160	69303	310027	109989	504335	2.75240e-05	4.39865e-07	2.67890e-07	3.42521e-07	1.12398e-05	5.10616e-06	3.16058e-07	1.40842e-07	5.78065e-07	2.85691e-07	1.66198e-05	4.88358e-07	6.02171e-05	7.85469e-08	1.17064e-04	11706	35132	38906	50608	94193	-81596.753	-76505.219
42	103196	377852	60047	461039	102349	326402	3.63700e-05	6.13885e-06	6.74411e-07	6.54305e-07	4.06085e-07	4.67433e-07	3.15889e-08	2.54630e-07	1.02008e-07	4.47062e-06	2.10722e-05	4.52247e-08	4.21898e-05	7.56985e-07	1.26111e-04	11237	24563	35258	102061	103766	-81679.688	-76691.276
43	107878	163012	78600	677435	112038	454435	6.99512e-05	5.86727e-06	2.96501e-07	2.55688e-08	6.10429e-06	3.73061e-07	9.94077e-08	3.69593e-07	1.11054e-06	1.18760e-06	3.36410e-06	3.23041e-07	1.95315e-05	8.82063e-06	9.09648e-05	12045	22098	41207	60091	95391	-82068.315	-76871.797
44	108102	170008	61547	672458	104538	582346	6.77033e-05	5.95034e-06	1.25335e-07	1.12785e-06	3.47961e-06	4.39421e-06	1.76806e-06	1.87402e-07	8.39271e-07	2.60153e-06	2.39342e-05	4.78717e-08	8.31921e-05	5.57737e-07	6.57084e-05	10388	21359	36471	77317	118629	-80086.469	-75140.940
45	122127	167012	72054	644555	104633	359951	8.36685e-05	6.56053e-08	1.42263e-06	1.77165e-07	1.07872e-06	3.34476e-06	1.49848e-07	2.52520e-07	1.68138e-06	1.82444e-06	1.06286e-05	1.91628e-07	4.10354e-05	5.23029e-06	6.91019e-05	12474	31279	40717	57509	96536	-81183.325	-76158.668
46	113101	123524	46989	307712	103173	387588	5.17087e-05	2.47670e-06	8.79296e-08	2.07421e-06	2.47706e-06	5.99783e-06	1.90700e-07	8.01166e-07	1.04063e-06	7.84501e-06	1.50855e-06	2.58342e-05	4.28725e-05	1.05281e-07	1.09221e-04	17738	21692	22663	73366	112742	-81166.982	-76068.478
47	109328	169618	60914	877848	103401	447542	7.74781e-05	1.53105e-07	4.20820e-07	3.43176e-08	6.08563e-06	7.19076e-06	6.66653e-07	1.33891e-07	8.90651e-08	2.10229e-07	2.47926e-05	4.03033e-08	4.64853e-05	1.32930e-06	1.49669e-04	16245	16814	33796	79485	108142	-81898.790	-76753.395
48	107177	447916	79249	721247	103749	567197	7.90154e-06	7.42898e-08	4.21081e-07	2.56195e-07	8.89878e-06	1.94240e-06	6.31711e-07	8.42969e-08	2.53510e-08	6.98422e-06	3.22820e-06	6.23787e-06	3.03166e-05	1.08924e-05	1.38057e-04	10518	26201	33074	73837	105253	-80006.237	-75129.732
49	115791	280907	85746	496179	109043	412387	2.67742e-05	1.74438e-06	4.75017e-07	1.13567e-07	7.25079e-06	1.72289e-06	4.97553e-08	1.95201e-06	4.84111e-07	2.68230e-06	1.13085e-05	4.46263e-07	3.32211e-05	2.43062e-05	2.52883e-04	11179	20110	43227	74184	94468	-81387.293	-76424.706
50	114043	136713	76984	750602	105006	355692	4.08989e-05	3.53342e-06	8.75994e-07	3.92004e-07	9.79415e-07	6.75502e-07	3.48844e-07	5.90256e-08	4.24461e-06	4.30623e-08	2.37532e-05	1.85999e-06	4.75973e-05	3.48448e-06	9.69464e-05	14524	20198	27759	63349	111524	-80191.802	-75158.006
