"","sample.id","EV1","EV2","EV3"
"1","Piri253",-0.0784481340259917,-0.0135952275848263,-0.0231262813201455
"2","UFG2997",-0.0730100556184369,-0.0779138445764458,0.0129550850833803
"3","UFG2998",-0.0693851317978838,-0.0850982465111895,0.0318159822456907
"4","UFG3150",-0.0903183295970801,0.0182496646462285,-0.0337636107249205
"5","UFG3155",-0.0954716639922698,0.0279348202755915,-0.0568270972166829
"6","UFG3192",-0.061387592594808,-0.02921392254142,-0.008025551338124
"7","UFG4003",0.167215232603534,0.0889534504284367,0.105114899700247
"8","UFG4007",0.173175645090603,0.10843181413426,0.120044277586053
"9","UFG4009",0.170915091637048,0.0789173180707197,0.119737426495389
"10","UFG4030",0.173350524096361,0.0833999941347746,0.0882489319260786
"11","UFG4047",0.17140235709621,0.0897139871606283,0.111455064246895
"12","UFG4051",-0.00188960063551934,0.00862680955090094,0.0191115886017108
"13","UFG4097",0.168956381093939,0.0867755632187872,0.109315500512822
"14","UFG4117",0.134634095086503,0.0530367779373175,0.0484154334977435
"15","UFG4125",0.17364375413123,0.123571257009757,0.155149968379069
"16","UFG4154",0.16967905050571,0.0939660601797926,0.114324008224354
"17","UFG4156",0.174051379412884,0.10298015507062,0.141699922809722
"18","UFG4162",0.173481484130863,0.0864798104852249,0.137793330438569
"19","UFG4222",-0.0250690745762922,0.219554097799257,0.306751108898429
"20","UFG4228",-0.0277415925199772,0.164230943205189,0.303196887758228
"21","UFG4233",-0.0259222306437004,0.205102535169962,0.292635763732837
"22","UFG4521",-0.0832036661015506,0.0104791683004706,0.030573579480683
"23","UFG4642",-0.0871905084328734,0.00581843542334393,0.00633212564090061
"24","UFG5104",-0.0864831499334541,-0.0172390913618052,-0.0195577303250876
"25","UFG5131",-0.0817849235403172,-0.0404030979257814,-0.00214858709929122
"26","UFG5133",-0.0808932610914661,-0.00867858684025931,-0.0260209643418446
"27","UFG5138",-0.0855625654416792,-0.0090737096722823,-0.0339721360592761
"28","UFG5506",-0.0816916898343226,-0.0368270867527354,-0.00101410247780109
"29","UFG5635",-0.0854059035007734,0.055677530699167,-0.00870324062390424
"30","UFG5636",-0.0781895250348911,0.0434644862690785,-0.0371508408498938
"31","UFG5637",-0.0903035516473767,0.0769530929953762,-0.0722722594762658
"32","UFG5638",-0.101203014648249,0.111734009293257,-0.068150991547582
"33","UFG5639",-0.0401322595698687,-0.0105499069619576,-0.0122646070118068
"34","UFG5640",-0.10229322557428,0.0977579723010831,-0.0442237981330829
"35","UFG5641",-0.0816508498573426,-0.00233825604734557,-0.0108445089157077
"36","UFG5642",-0.0769688615550014,-0.0259532580243834,-0.0287925917943715
"37","UFG5643",-0.0940727376266301,0.0610709370570227,-0.0156728363618236
"38","UFG5644",-0.102367003347941,0.0630820379973824,-0.0955252468356246
"39","UFG5645",-0.0533417950461659,-0.057157485810456,-0.00496404307313575
"40","UFG5646",-0.0559094605571558,-0.0782658977892078,0.076232957161661
"41","UFG5647",-0.0807137516202793,0.0787339175154111,-0.067463352265667
"42","UFG5648",-0.10039021641868,0.116722489838024,-0.0815856688946136
"43","UFG5649",-0.102890066493113,0.076048939699839,-0.0733809272799088
"44","UFG5651",0.14486032051572,-0.0734494788364485,-0.101953860519932
"45","UFG5652",0.153154128878061,-0.0471678354908994,-0.105883143013349
"46","UFG5654",0.138110498887269,-0.0733424668902343,-0.112693533634936
"47","UFG5655",0.153739343108319,-0.083854363742871,-0.159740487645272
"48","UFG5657",-0.0942154388371105,0.0102449112030081,-0.0397611873953221
"49","UFG5658",-0.0941917712212056,0.065546843291737,-0.0798180492503248
"50","UFG5661",0.152295505709365,0.0219048540464575,0.0156909059692535
"51","UFG5664",0.160978168698409,0.0295341812357227,0.0233444854300935
"52","UFG5669",-0.0891101832554879,0.0392849747008407,-0.0468722389105778
"53","UFG5670",-0.102784090506394,0.143073029214729,-0.0501563367496498
"54","UFG5671",-0.099630039915427,0.122810736836302,-0.0372861974415985
"55","UFG5672",0.126282205105194,-0.0655291126005048,-0.0820954516125462
"56","UFG5689",-0.0770986368268101,-0.0332845652920511,-0.01480310028969
"57","UFG5691",-0.0527771805173018,-0.129097654981,0.0562098904620697
"58","UFG5693",-0.0910509777901786,0.0603943680165275,-0.033635057401031
"59","UFG5694",-0.0566979404994235,-0.144131300406435,0.0177420686854204
"60","UFG5695",-0.0911951916616512,0.0219784387137572,-0.0162872389935945
"61","UFG5697",-0.078565422746251,-0.0779774814272121,0.0228909789530493
"62","UFG5698",-0.0886880235704933,0.0238354785912275,-0.0251889994674909
"63","UFG5703",-0.103594778272368,0.0727372663164893,-0.0500758998063574
"64","UFG5717",-0.0992531307750222,0.0754079438372082,-0.0735948516110699
"65","UFG5748",0.136751980972611,-0.0664126804341674,-0.10941966571592
"66","UFG5750",0.164645745722203,-0.0755957169756484,-0.191656326556879
"67","UFG5751",0.159542769084343,-0.086803821151405,-0.186599877722474
"68","UFG5752",0.159326182096263,-0.0641390143828931,-0.160849477894579
"69","UFG5755",0.162209880242755,-0.0801170926045458,-0.153055078072208
"70","UFG5756",-0.0507112900394383,-0.462424845316196,0.33172373581743
"71","UFG5757",-0.0459164183102709,-0.187826463476063,0.0413585639532388
"72","UFG5758",-0.0460469617791956,-0.170175041433275,0.0204591068388786
"73","UFG5759",-0.0488538716627718,-0.173108354824791,0.0681499552110615
"74","UFG5760",-0.0481740749170178,-0.455146036358417,0.317375766660506
"75","UFG5761",0.157023150763419,-0.0700526507908519,-0.192480238431028
"76","UFG5762",0.15686392137582,-0.0606127087716743,-0.146841459404386
