"sp"	"Lat"	"Long"
"Stilpnia_cayana"	-16.2072	-49.0804
"Stilpnia_cayana"	-15.0338	-47.0584
"Stilpnia_cayana"	-22.4071	-45.3389
"Stilpnia_cayana"	-19.9297	-42.5899
"Stilpnia_cayana"	-8.20722	-49.786
"Stilpnia_cayana"	-11.5778	-46.7997
"Stilpnia_cayana"	-9.29678	-47.5916
"Stilpnia_cayana"	-16.2651	-47.3847
"Stilpnia_cayana"	-17.7	-48.55
"Stilpnia_cayana"	-6.82354	-46.7076
"Stilpnia_cayana"	-14.3955	-55.862
"Stilpnia_cayana"	-12.5327	-39.122
"Stilpnia_cayana"	-8.1625	-47.5022
"Stilpnia_cayana"	-21.5114	-43.4357
"Stilpnia_cayana"	-21.5032	-42.9279
"Stilpnia_cayana"	-18.3731	-42.0933
"Stilpnia_cayana"	-12.7086	-51.4505
"Stilpnia_cayana"	-11.0189	-46.7317
"Stilpnia_cayana"	-17.4859	-53.2498
"Stilpnia_cayana"	-7.9125	-35.3394
"Stilpnia_cayana"	-13.959	-46.3768
"Stilpnia_cayana"	-13.7907	-46.2016
"Stilpnia_cayana"	-20.4897	-41.1003
"Stilpnia_cayana"	-17.5242	-46.8125
"Stilpnia_cayana"	-21.0025	-46.5009
"Stilpnia_cayana"	-18.7793	-44.9984
"Stilpnia_cayana"	-14.5271	-43.6451
"Stilpnia_cayana"	-21.6234	-43.3691
"Stilpnia_cayana"	-11.3992	-39.0342
"Stilpnia_cayana"	-19.6299	-42.5877
"Stilpnia_cayana"	-14.0775	-49.8622
"Stilpnia_cayana"	-16.2844	-47.8448
"Stilpnia_cayana"	-0.75	-53.2333
"Stilpnia_cayana"	-0.04889	-53.8278
"Stilpnia_cayana"	0.630556	-54.2722
"Stilpnia_cayana"	-0.23803	-54.1353
"Stilpnia_cayana"	-1.49392	-53.0413
"Stilpnia_cayana"	-1.55794	-53.3018
"Stilpnia_cayana"	-8.30878	-43.761
"Stilpnia_cayana"	-6.16439	-43.5485
"Stilpnia_cayana"	-3.21667	-41.3833
"Stilpnia_cayana"	-8.73331	-45.4167
"Stilpnia_cayana"	-8.33	-49.81
"Stilpnia_cayana"	-12.8333	-40.65
"Stilpnia_cayana"	-15.8039	-51.455
"Stilpnia_cayana"	-14.4628	-46.6656
"Stilpnia_cayana"	-14.105	-51.7386
"Stilpnia_cayana"	-14.105	-51.7378
"Stilpnia_cayana"	-14.1042	-50.7479
"Stilpnia_cayana"	-6.22839	-50.8692
"Stilpnia_cayana"	-20.75	-47.6703
"Stilpnia_cayana"	-14.708	-66.676
"Stilpnia_cayana"	-4.18212	-45.8493
"Stilpnia_cayana"	-3.33726	-39.3403
"Stilpnia_cayana"	-8.88609	-44.0632
"Stilpnia_cayana"	-8.86258	-45.4828
"Stilpnia_cayana"	-13.404	-65.0477
"Stilpnia_cayana"	-7.85329	-50.4622
"Stilpnia_cayana"	-21.2135	-54.3801
"Stilpnia_cayana"	-12.4734	-38.025
"Stilpnia_cayana"	-13.1616	-39.6977
"Stilpnia_cayana"	-10.4581	-40.8367
"Stilpnia_cayana"	-12.4704	-39.8481
"Stilpnia_cayana"	-10.9986	-43.478
"Stilpnia_cayana"	-13.6348	-39.7924
"Stilpnia_cayana"	-3.44972	-41.9083
"Stilpnia_cayana"	-4.86232	-41.236
"Stilpnia_cayana"	-22.4498	-45.3584
"Stilpnia_cayana"	-21.0571	-46.9307
"Stilpnia_cayana"	-14.3552	-55.9874
"Stilpnia_cayana"	-12.7673	-57.4452
"Stilpnia_cayana"	-14.9	-66.0333
"Stilpnia_cayana"	-10.9838	-44.4804
"Stilpnia_cayana"	-13.9611	-46.377
"Stilpnia_cayana"	4.495417	-61.2498
"Stilpnia_cayana"	-7.52756	-64.6068
"Stilpnia_cayana"	10.45605	-67.9955
"Stilpnia_cayana"	7.901239	-71.8905
"Stilpnia_cayana"	5.666667	-58.1167
"Stilpnia_cayana"	2.866667	-58.7333
"Stilpnia_cayana"	-2.96714	-64.8673
"Stilpnia_cayana"	5.976994	-57.4771
"Stilpnia_cayana"	8.610992	-70.8579
"Stilpnia_cayana"	6.378831	-62.4279
"Stilpnia_cayana"	7.2	-61.95
"Stilpnia_cayana"	8.095556	-62.4554
"Stilpnia_cayana"	5.166667	-59.1833
"Stilpnia_cayana"	10.30625	-67.912
"Stilpnia_cayana"	9.416667	-70.25
"Stilpnia_cayana"	3.271992	-72.9123
"Stilpnia_cayana"	-16.3078	-41.4911
"Stilpnia_cayana"	-9.55639	-37.7097
"Stilpnia_cayana"	-11.3552	-38.9298
"Stilpnia_cayana"	-9.52472	-37.71
"Stilpnia_cayana"	-22.3463	-45.2933
"Stilpnia_cayana"	-17.6427	-42.2117
"Stilpnia_cayana"	-22.4141	-45.3903
"Stilpnia_cayana"	-21.6302	-43.3715
"Stilpnia_cayana"	-20.5727	-44.5727
"Stilpnia_cayana"	-20.1571	-46.5287
"Stilpnia_cayana"	-21.3012	-45.3185
"Stilpnia_cayana"	-21.5711	-43.029
"Stilpnia_cayana"	-22.9391	-45.0734
"Stilpnia_cayana"	-21.3166	-43.6769
"Stilpnia_cayana"	-22.3278	-52.3602
"Stilpnia_cayana"	-22.5199	-45.2634
"Stilpnia_cayana"	-22.5392	-45.3633
"Stilpnia_cayana"	-14.711	-58.9427
"Stilpnia_cayana"	-15.627	-48.5037
"Stilpnia_cayana"	-16.9511	-41.1353
"Stilpnia_cayana"	-6.86083	-54.6214
"Stilpnia_cayana"	-19.1722	-48.6556
"Stilpnia_cayana"	-16.6042	-53.0636
"Stilpnia_cayana"	-15.0274	-47.045
"Stilpnia_cayana"	-21.7039	-52.7253
"Stilpnia_cayana"	-14.1385	-46.1227
"Stilpnia_cayana"	-8.73583	-36.6572
"Stilpnia_cayana"	-13.0355	-51.698
"Stilpnia_cayana"	-11.399	-39.0341
"Stilpnia_cayana"	-0.05611	-53.9375
"Stilpnia_cayana"	-4.77086	-40.3012
"Stilpnia_cayana"	-7.16778	-36.7181
"Stilpnia_cayana"	-6.63333	-45.3833
"Stilpnia_cayana"	-14.7418	-48.7355
"Stilpnia_cayana"	-14.4667	-47.9333
"Stilpnia_cayana"	-16.2074	-49.0814
"Stilpnia_cayana"	-14.2544	-47.9733
"Stilpnia_cayana"	-16.1025	-65.5189
"Stilpnia_cayana"	-3.55722	-42.0114
"Stilpnia_cayana"	-18.0738	-42.07
"Stilpnia_cayana"	-22.335	-46.0692
"Stilpnia_cayana"	-11.08	-38.3225
